TransactionID,Amount,SenderCounty,ReceiverCounty,TimeOfDay,TransactionType,AccountAgeMonths,TransactionsLast24Hours,DeviceChangedRecently,NewLocationLogin,FailedPinAttempts,IsWeekend,Fraudulent
TXN000001,335293,Mombasa,Nyeri,2,Withdraw,15,1,No,Yes,3,Yes,Yes
TXN000002,16713,Nyeri,Nakuru,22,Withdraw,4,3,Yes,Yes,8,Yes,Yes
TXN000003,115624,Machakos,Kiambu,4,Paybill,58,19,No,Yes,2,No,No
TXN000004,400340,Machakos,Meru,8,Send Money,44,4,Yes,No,1,No,No
TXN000005,382639,Meru,Machakos,18,Paybill,59,18,Yes,No,1,No,No
TXN000006,369448,Mombasa,Uasin Gishu,8,Withdraw,9,2,Yes,No,1,Yes,No
TXN000007,333331,Kiambu,Mombasa,19,Paybill,107,12,Yes,No,5,Yes,Yes
TXN000008,280093,Nyeri,Nakuru,21,Till,94,8,Yes,No,6,No,Yes
TXN000009,441947,Uasin Gishu,Kiambu,2,Paybill,99,25,Yes,Yes,0,No,Yes
TXN000010,478796,Kakamega,Kisumu,8,Paybill,73,29,No,Yes,7,No,Yes
TXN000011,129353,Nakuru,Kisumu,16,Withdraw,96,18,No,No,6,No,No
TXN000012,47712,Meru,Mombasa,12,Withdraw,97,2,Yes,Yes,2,No,No
TXN000013,312467,Machakos,Mombasa,9,Withdraw,60,17,No,Yes,1,No,No
TXN000014,82970,Kiambu,Nyeri,19,Paybill,59,1,No,Yes,8,Yes,No
TXN000015,80181,Nairobi,Mombasa,11,Till,48,25,Yes,Yes,5,No,Yes
TXN000016,125591,Nyeri,Kisumu,4,Withdraw,8,8,Yes,Yes,7,Yes,Yes
TXN000017,496471,Kiambu,Uasin Gishu,21,Till,71,6,No,No,3,Yes,No
TXN000018,229740,Mombasa,Machakos,0,Paybill,116,17,No,Yes,3,Yes,Yes
TXN000019,308562,Nairobi,Machakos,2,Paybill,29,1,Yes,Yes,3,Yes,Yes
TXN000020,146052,Kakamega,Uasin Gishu,6,Send Money,86,16,Yes,Yes,7,Yes,Yes
TXN000021,50869,Nairobi,Mombasa,1,Withdraw,85,14,No,No,6,No,No
TXN000022,381843,Nyeri,Kakamega,4,Withdraw,44,26,Yes,Yes,3,Yes,Yes
TXN000023,96250,Nairobi,Nyeri,0,Send Money,36,15,Yes,Yes,7,Yes,Yes
TXN000024,485733,Kakamega,Nakuru,12,Send Money,97,28,Yes,Yes,6,No,Yes
TXN000025,86367,Uasin Gishu,Nyeri,21,Withdraw,49,1,No,No,7,No,No
TXN000026,81208,Machakos,Nairobi,1,Withdraw,25,10,Yes,Yes,8,Yes,Yes
TXN000027,263688,Kisumu,Mombasa,19,Send Money,118,28,Yes,Yes,8,Yes,Yes
TXN000028,354055,Meru,Mombasa,13,Till,111,8,No,Yes,3,Yes,Yes
TXN000029,490105,Kisumu,Kiambu,14,Till,34,7,No,Yes,4,No,Yes
TXN000030,487123,Mombasa,Nyeri,6,Till,97,30,Yes,Yes,7,Yes,Yes
TXN000031,69495,Kisumu,Kakamega,17,Till,120,12,Yes,Yes,5,No,Yes
TXN000032,320745,Kiambu,Mombasa,3,Paybill,104,21,Yes,No,1,Yes,No
TXN000033,142838,Nyeri,Kakamega,8,Send Money,37,20,Yes,No,3,No,Yes
TXN000034,48440,Kisumu,Kiambu,5,Withdraw,82,14,No,Yes,0,No,No
TXN000035,289289,Nyeri,Nairobi,11,Paybill,91,14,Yes,Yes,1,Yes,Yes
TXN000036,225382,Nakuru,Nakuru,21,Send Money,17,2,No,No,0,No,No
TXN000037,185479,Kisumu,Uasin Gishu,0,Paybill,100,18,No,Yes,3,Yes,Yes
